Defects,Formation_Energies
GaSb_III_V_M_B_Ga.cif,-0.06
GaSb_III_V_M_B_Ge.cif,0.00
GaSb_III_V_M_B_In.cif,-0.01
GaSb_III_V_M_B_Mn.cif,-0.01
GaSb_III_V_M_B_N.cif,-1.24
GaSb_III_V_M_B_Ni.cif,-0.01
GaSb_III_V_M_B_Sb.cif,-0.01
GaSb_III_V_M_B_Si.cif,-0.01
GaSb_III_V_M_B_Sn.cif,-0.01
GaSb_III_V_M_B_V.cif,-0.01
GaSb_III_V_M_B_Zn.cif,0.00
GaSb_III_V_M_i_A_Cr.cif,-1.28
GaSb_III_V_M_i_A_Cu.cif,-0.17
GaSb_III_V_M_i_A_Fe.cif,-0.10
GaSb_III_V_M_i_A_Mn.cif,-0.29
GaSb_III_V_M_i_A_N.cif,-0.11
GaSb_III_V_M_i_A_Ni.cif,-0.34
GaSb_III_V_M_i_A_Ti.cif,-0.12
GaSb_III_V_M_i_A_V.cif,-0.96
GaSb_III_V_M_i_B_Cr.cif,-1.09
GaSb_III_V_M_i_B_Cu.cif,-0.19
GaSb_III_V_M_i_B_Fe.cif,-0.08
GaSb_III_V_M_i_B_Mn.cif,-0.20
GaSb_III_V_M_i_B_Ni.cif,-0.04
GaSb_III_V_M_i_B_Ti.cif,-0.09
GaSb_III_V_M_i_B_V.cif,-0.83
GaSb_III_V_M_i_neut_Cr.cif,-0.99
GaSb_III_V_M_i_neut_Cu.cif,-0.06
GaSb_III_V_M_i_neut_Ni.cif,-0.66
GaSb_III_V_M_i_neut_V.cif,-0.26
GaSb_V_Ga.cif,0.00
GaSb_V_Sb.cif,-0.01
Ge_IV_IV_M_A_Al.cif,-0.20
Ge_IV_IV_M_A_As.cif,0.00
Ge_IV_IV_M_A_Au.cif,-0.58
Ge_IV_IV_M_A_B.cif,-0.02
Ge_IV_IV_M_A_Cd.cif,-0.01
Ge_IV_IV_M_A_Cr.cif,-2.08
Ge_IV_IV_M_A_Cu.cif,-1.05
Ge_IV_IV_M_A_Fe.cif,-0.76
Ge_IV_IV_M_A_Ga.cif,-0.53
Ge_IV_IV_M_A_In.cif,-0.04
Ge_IV_IV_M_A_Mn.cif,-0.86
Ge_IV_IV_M_A_N.cif,-1.79
Ge_IV_IV_M_A_Ni.cif,-1.21
Ge_IV_IV_M_A_Pd.cif,-0.20
Ge_IV_IV_M_A_Pt.cif,-0.26
Ge_IV_IV_M_A_Sb.cif,-0.01
Ge_IV_IV_M_A_Si.cif,-0.86
Ge_IV_IV_M_A_Sn.cif,0.00
Ge_IV_IV_M_A_Ti.cif,-0.58
Ge_IV_IV_M_A_V.cif,-1.21
Ge_IV_IV_M_A_Zn.cif,-0.17
Ge_IV_IV_M_i_A_Cr.cif,-2.16
Ge_IV_IV_M_i_A_Cu.cif,-1.09
Ge_IV_IV_M_i_A_Fe.cif,-0.52
Ge_IV_IV_M_i_A_Mn.cif,-0.77
Ge_IV_IV_M_i_A_N.cif,-1.14
Ge_IV_IV_M_i_A_Ni.cif,-1.40
Ge_IV_IV_M_i_A_Ti.cif,-0.19
Ge_IV_IV_M_i_A_V.cif,-0.68
Ge_IV_IV_M_i_neut_Cr.cif,-1.15
Ge_IV_IV_M_i_neut_Cu.cif,-0.33
Ge_IV_IV_M_i_neut_N.cif,-0.58
Ge_IV_IV_M_i_neut_Ni.cif,-0.91
Ge_IV_IV_M_i_neut_V.cif,0.00
Ge_V_Ge.cif,0.00
GeC_IV_IV_M_A_Al.cif,0.00
GeC_IV_IV_M_A_Cr.cif,-5.28
GeC_IV_IV_M_A_Cu.cif,-0.80
GeC_IV_IV_M_A_Fe.cif,-1.24
GeC_IV_IV_M_A_Ga.cif,-0.17
GeC_IV_IV_M_A_Mn.cif,-1.02
GeC_IV_IV_M_A_N.cif,-0.77
GeC_IV_IV_M_A_Ni.cif,0.00
GeC_IV_IV_M_A_Ti.cif,-0.08
GeC_IV_IV_M_A_V.cif,-2.44
GeC_IV_IV_M_B_Cr.cif,-0.27
GeSn_IV_IV_M_A_Al.cif,-0.13
GeSn_IV_IV_M_A_Au.cif,-0.56
GeSn_IV_IV_M_A_B.cif,0.00
GeSn_IV_IV_M_A_Cr.cif,-1.92
GeSn_IV_IV_M_A_Cu.cif,-1.03
GeSn_IV_IV_M_A_Fe.cif,-0.71
GeSn_IV_IV_M_A_Ga.cif,-0.23
GeSn_IV_IV_M_A_In.cif,-0.05
GeSn_IV_IV_M_A_Mn.cif,-0.90
GeSn_IV_IV_M_A_N.cif,-1.55
GeSn_IV_IV_M_A_Ni.cif,-1.15
GeSn_IV_IV_M_A_Pd.cif,-0.26
GeSn_IV_IV_M_A_Pt.cif,-0.11
GeSn_IV_IV_M_A_Si.cif,-0.79
GeSn_IV_IV_M_A_Ti.cif,-0.56
GeSn_IV_IV_M_A_V.cif,-1.23
GeSn_IV_IV_M_A_Zn.cif,-0.10
GeSn_IV_IV_M_B_Al.cif,-0.50
GeSn_IV_IV_M_B_As.cif,-0.35
GeSn_IV_IV_M_B_B.cif,0.00
GeSn_IV_IV_M_B_Cr.cif,-1.46
GeSn_IV_IV_M_B_Cu.cif,-0.45
GeSn_IV_IV_M_B_Fe.cif,-0.28
GeSn_IV_IV_M_B_Ga.cif,-0.49
GeSn_IV_IV_M_B_Ge.cif,-0.60
GeSn_IV_IV_M_B_Mn.cif,-0.30
GeSn_IV_IV_M_B_N.cif,-1.56
GeSn_IV_IV_M_B_Ni.cif,-0.56
GeSn_IV_IV_M_B_Si.cif,-0.41
GeSn_IV_IV_M_B_Ti.cif,-0.46
GeSn_IV_IV_M_B_V.cif,-0.93
GeSn_IV_IV_M_B_Zn.cif,-0.25
GeSn_IV_IV_M_i_A_Cr.cif,-1.92
GeSn_IV_IV_M_i_A_Cu.cif,-0.84
GeSn_IV_IV_M_i_A_Fe.cif,-0.54
GeSn_IV_IV_M_i_A_Mn.cif,-0.72
GeSn_IV_IV_M_i_A_N.cif,-1.38
GeSn_IV_IV_M_i_A_Ni.cif,-1.41
GeSn_IV_IV_M_i_A_Ti.cif,-0.54
GeSn_IV_IV_M_i_A_V.cif,-0.86
GeSn_IV_IV_M_i_B_Cr.cif,-1.92
GeSn_IV_IV_M_i_B_Cu.cif,-0.84
GeSn_IV_IV_M_i_B_Fe.cif,-0.54
GeSn_IV_IV_M_i_B_Mn.cif,-0.72
GeSn_IV_IV_M_i_B_N.cif,-1.38
GeSn_IV_IV_M_i_B_Ni.cif,-1.41
GeSn_IV_IV_M_i_B_Ti.cif,-0.54
GeSn_IV_IV_M_i_B_V.cif,-0.86
GeSn_IV_IV_M_i_neut_Cr.cif,-1.44
GeSn_IV_IV_M_i_neut_Cu.cif,-0.60
GeSn_IV_IV_M_i_neut_Fe.cif,-0.13
GeSn_IV_IV_M_i_neut_Mn.cif,-0.33
GeSn_IV_IV_M_i_neut_N.cif,-0.72
GeSn_IV_IV_M_i_neut_Ni.cif,-1.26
GeSn_IV_IV_M_i_neut_V.cif,-0.15
InAs_III_V_M_A_Al.cif,-0.28
InAs_III_V_M_A_Cr.cif,-1.26
InAs_III_V_M_A_Cu.cif,-0.35
InAs_III_V_M_A_Fe.cif,-0.09
InAs_III_V_M_A_Ga.cif,-0.01
InAs_III_V_M_A_Mn.cif,-0.46
InAs_III_V_M_A_Ni.cif,-0.07
InAs_III_V_M_A_Sc.cif,-0.04
InAs_III_V_M_A_Ti.cif,-0.59
InAs_III_V_M_A_V.cif,-0.91
InAs_III_V_M_B_Br.cif,-0.11
InAs_III_V_M_B_Cr.cif,-0.66
InAs_III_V_M_B_Cu.cif,-0.06
InAs_III_V_M_B_N.cif,-1.48
InAs_III_V_M_B_Ni.cif,-0.20
InAs_III_V_M_i_A_Cr.cif,-1.33
InAs_III_V_M_i_A_Cu.cif,-0.46
InAs_III_V_M_i_A_Fe.cif,-0.12
InAs_III_V_M_i_A_Mn.cif,-0.41
InAs_III_V_M_i_A_N.cif,-0.12
InAs_III_V_M_i_A_Ni.cif,-0.44
InAs_III_V_M_i_A_Ti.cif,-0.44
InAs_III_V_M_i_A_V.cif,-1.33
InAs_III_V_M_i_B_Cr.cif,-1.58
InAs_III_V_M_i_B_Cu.cif,-0.61
InAs_III_V_M_i_B_Fe.cif,-0.32
InAs_III_V_M_i_B_Li.cif,-0.08
InAs_III_V_M_i_B_Mn.cif,-0.79
InAs_III_V_M_i_B_Ni.cif,-0.68
InAs_III_V_M_i_B_Ti.cif,-0.65
InAs_III_V_M_i_B_V.cif,-1.42
InAs_III_V_M_i_neut_Cr.cif,-1.29
InAs_III_V_M_i_neut_Cu.cif,-0.26
InAs_III_V_M_i_neut_Mn.cif,-0.06
InAs_III_V_M_i_neut_Ni.cif,-0.78
InAs_III_V_M_i_neut_V.cif,-0.55
InN_III_V_M_A_Al.cif,0.00
InN_III_V_M_A_As.cif,-0.16
InN_III_V_M_A_Be.cif,0.00
InN_III_V_M_A_Ca.cif,0.00
InN_III_V_M_A_Cd.cif,-0.32
InN_III_V_M_A_Cr.cif,-1.98
InN_III_V_M_A_Fe.cif,0.00
InN_III_V_M_A_Ga.cif,-0.25
InN_III_V_M_A_Ge.cif,-0.24
InN_III_V_M_A_Mg.cif,-0.04
InN_III_V_M_A_Mn.cif,-0.99
InN_III_V_M_A_Nb.cif,-3.50
InN_III_V_M_A_Pb.cif,-0.25
InN_III_V_M_A_Sb.cif,-0.09
InN_III_V_M_A_Sc.cif,-0.10
InN_III_V_M_A_Sn.cif,-0.50
InN_III_V_M_A_Ti.cif,-0.67
InN_III_V_M_A_Tl.cif,-0.17
InN_III_V_M_A_V.cif,-2.40
InN_III_V_M_A_Y.cif,-0.38
InN_III_V_M_A_Zn.cif,-0.18
InN_III_V_M_A_Zr.cif,-1.86
InN_III_V_M_B_Cr.cif,-0.12
InN_III_V_M_i_A_Cr.cif,-0.44
InN_III_V_M_i_B_Be.cif,-0.65
InN_III_V_M_i_B_Cr.cif,-1.29
InN_III_V_M_i_B_Li.cif,-0.23
InN_III_V_M_i_B_Mg.cif,-0.24
InN_III_V_M_i_B_Mn.cif,-0.81
InN_III_V_M_i_B_Ti.cif,-0.31
InN_III_V_M_i_B_V.cif,-1.17
InN_III_V_M_i_B_Zr.cif,-0.42
InN_III_V_M_i_neut_Cr.cif,-0.33
InN_V_N.cif,-0.76
InP_III_V_M_A_Al.cif,-0.19
InP_III_V_M_A_Cr.cif,-1.69
InP_III_V_M_A_Cu.cif,-0.31
InP_III_V_M_A_Fe.cif,-0.01
InP_III_V_M_A_Ga.cif,-0.13
InP_III_V_M_A_Mn.cif,-0.64
InP_III_V_M_A_Ni.cif,-0.01
InP_III_V_M_A_Ti.cif,-0.98
InP_III_V_M_A_V.cif,-1.70
InP_III_V_M_B_Br.cif,-0.65
InP_III_V_M_B_Cr.cif,-0.48
InP_III_V_M_B_N.cif,-1.65
InP_III_V_M_i_A_Cr.cif,-1.67
InP_III_V_M_i_A_Fe.cif,-0.08
InP_III_V_M_i_A_Mn.cif,-0.36
InP_III_V_M_i_A_Ni.cif,-0.21
InP_III_V_M_i_A_Ti.cif,-0.26
InP_III_V_M_i_A_V.cif,-1.00
InP_III_V_M_i_B_Cr.cif,-1.75
InP_III_V_M_i_B_Cu.cif,-0.57
InP_III_V_M_i_B_Fe.cif,-0.42
InP_III_V_M_i_B_Li.cif,-0.27
InP_III_V_M_i_B_Mn.cif,-0.74
InP_III_V_M_i_B_Ni.cif,-0.51
InP_III_V_M_i_B_Ti.cif,-0.45
InP_III_V_M_i_B_V.cif,-1.26
InP_III_V_M_i_neut_Cr.cif,-1.12
InP_III_V_M_i_neut_Ni.cif,-0.18
InP_III_V_M_i_neut_V.cif,-0.40
InSb_III_V_M_A_Al.cif,-0.42
InSb_III_V_M_A_As.cif,-0.07
InSb_III_V_M_A_Cr.cif,-2.14
InSb_III_V_M_A_Cu.cif,-0.55
InSb_III_V_M_A_Fe.cif,-0.47
InSb_III_V_M_A_Ga.cif,-0.14
InSb_III_V_M_A_Mn.cif,-1.00
InSb_III_V_M_A_Ni.cif,-0.36
InSb_III_V_M_A_Sc.cif,-0.26
InSb_III_V_M_A_Ti.cif,-1.04
InSb_III_V_M_A_V.cif,-1.70
InSb_III_V_M_B_As.cif,-0.63
InSb_III_V_M_B_Br.cif,-0.26
InSb_III_V_M_B_Cr.cif,-0.89
InSb_III_V_M_B_Cu.cif,-0.27
InSb_III_V_M_B_Ga.cif,-0.19
InSb_III_V_M_B_Ge.cif,-0.11
InSb_III_V_M_B_Mn.cif,-0.09
InSb_III_V_M_B_N.cif,-1.48
InSb_III_V_M_B_Ni.cif,-0.53
InSb_III_V_M_B_V.cif,-0.38
InSb_III_V_M_i_A_Cr.cif,-1.53
InSb_III_V_M_i_A_Cu.cif,-0.39
InSb_III_V_M_i_A_Fe.cif,-0.29
InSb_III_V_M_i_A_Ga.cif,-0.11
InSb_III_V_M_i_A_Li.cif,-0.12
InSb_III_V_M_i_A_Mn.cif,-0.39
InSb_III_V_M_i_A_N.cif,-0.94
InSb_III_V_M_i_A_Ni.cif,-0.61
InSb_III_V_M_i_A_Ti.cif,-0.47
InSb_III_V_M_i_A_V.cif,-1.24
InSb_III_V_M_i_B_Cr.cif,-1.57
InSb_III_V_M_i_B_Cu.cif,-0.37
InSb_III_V_M_i_B_Fe.cif,-0.31
InSb_III_V_M_i_B_Li.cif,-0.12
InSb_III_V_M_i_B_Mn.cif,-0.65
InSb_III_V_M_i_B_N.cif,-0.45
InSb_III_V_M_i_B_Ni.cif,-0.57
InSb_III_V_M_i_B_Ti.cif,-0.65
InSb_III_V_M_i_B_V.cif,-1.33
InSb_III_V_M_i_neut_Cr.cif,-1.79
InSb_III_V_M_i_neut_Cu.cif,-0.64
InSb_III_V_M_i_neut_Fe.cif,-0.34
InSb_III_V_M_i_neut_Mn.cif,-0.57
InSb_III_V_M_i_neut_N.cif,-0.32
InSb_III_V_M_i_neut_Ni.cif,-0.89
InSb_III_V_M_i_neut_Ti.cif,-0.21
InSb_III_V_M_i_neut_V.cif,-1.28
Si_IV_IV_M_A_Al.cif,0.00
Si_IV_IV_M_A_As.cif,0.00
Si_IV_IV_M_A_B.cif,-0.01
Si_IV_IV_M_A_Cd.cif,0.00
Si_IV_IV_M_A_Cr.cif,-1.54
Si_IV_IV_M_A_Cu.cif,-0.48
Si_IV_IV_M_A_Ga.cif,0.00
Si_IV_IV_M_A_Ge.cif,0.00
Si_IV_IV_M_A_In.cif,0.00
Si_IV_IV_M_A_Mn.cif,-0.43
Si_IV_IV_M_A_N.cif,-0.95
Si_IV_IV_M_A_Ni.cif,-0.86
Si_IV_IV_M_A_Sb.cif,0.00
Si_IV_IV_M_A_Sn.cif,0.00
Si_IV_IV_M_A_V.cif,-0.86
Si_IV_IV_M_A_Zn.cif,0.00
Si_IV_IV_M_i_A_Cr.cif,-2.11
Si_IV_IV_M_i_A_Cu.cif,-0.55
Si_IV_IV_M_i_A_Fe.cif,-0.11
Si_IV_IV_M_i_A_Mn.cif,-0.44
Si_IV_IV_M_i_A_N.cif,-0.51
Si_IV_IV_M_i_A_Ni.cif,-1.46
Si_IV_IV_M_i_A_V.cif,-0.53
Si_IV_IV_M_i_neut_Cr.cif,-0.80
Si_IV_IV_M_i_neut_Ni.cif,-0.63
Si_IV_IV_M_i_neut_V.cif,0.00
Si_V_Si.cif,-0.01
SiC_IV_IV_M_A_Be.cif,0.00
SiC_IV_IV_M_A_Cr.cif,-3.26
SiC_IV_IV_M_A_Cu.cif,-0.01
SiC_IV_IV_M_A_Fe.cif,-0.76
SiC_IV_IV_M_A_Mn.cif,-1.24
SiC_IV_IV_M_A_Ni.cif,-0.01
SiC_IV_IV_M_A_Ti.cif,-0.57
SiC_IV_IV_M_A_V.cif,-2.37
SiC_IV_IV_M_B_Cr.cif,-0.73
SiGe_IV_IV_M_A_Al.cif,-0.01
SiGe_IV_IV_M_A_B.cif,0.00
SiGe_IV_IV_M_A_Cr.cif,-1.50
SiGe_IV_IV_M_A_Cu.cif,-0.47
SiGe_IV_IV_M_A_Fe.cif,-0.06
SiGe_IV_IV_M_A_Ga.cif,-0.15
SiGe_IV_IV_M_A_Ge.cif,0.00
SiGe_IV_IV_M_A_In.cif,0.00
SiGe_IV_IV_M_A_Mn.cif,-0.52
SiGe_IV_IV_M_A_N.cif,-1.01
SiGe_IV_IV_M_A_Ni.cif,-0.66
SiGe_IV_IV_M_A_Sn.cif,0.00
SiGe_IV_IV_M_A_Ti.cif,-0.01
SiGe_IV_IV_M_A_V.cif,-0.66
SiGe_IV_IV_M_A_Zn.cif,0.00
SiGe_IV_IV_M_B_Al.cif,-0.01
SiGe_IV_IV_M_B_B.cif,0.00
SiGe_IV_IV_M_B_Cd.cif,-0.01
SiGe_IV_IV_M_B_Cr.cif,-1.29
SiGe_IV_IV_M_B_Cu.cif,-0.36
SiGe_IV_IV_M_B_Fe.cif,-0.01
SiGe_IV_IV_M_B_Ga.cif,0.00
SiGe_IV_IV_M_B_In.cif,0.00
SiGe_IV_IV_M_B_Mn.cif,-0.05
SiGe_IV_IV_M_B_N.cif,-1.10
SiGe_IV_IV_M_B_Ni.cif,-0.58
SiGe_IV_IV_M_B_Si.cif,-0.90
SiGe_IV_IV_M_B_V.cif,-0.34
SiGe_IV_IV_M_B_Zn.cif,-0.02
SiGe_IV_IV_M_i_A_Cr.cif,-1.88
SiGe_IV_IV_M_i_A_Cu.cif,-0.63
SiGe_IV_IV_M_i_A_Fe.cif,-0.23
SiGe_IV_IV_M_i_A_Mn.cif,-0.48
SiGe_IV_IV_M_i_A_N.cif,-0.72
SiGe_IV_IV_M_i_A_Ni.cif,-1.29
SiGe_IV_IV_M_i_A_V.cif,-0.53
SiGe_IV_IV_M_i_B_Cr.cif,-1.68
SiGe_IV_IV_M_i_B_Cu.cif,-0.48
SiGe_IV_IV_M_i_B_Mn.cif,-0.19
SiGe_IV_IV_M_i_B_N.cif,-0.49
SiGe_IV_IV_M_i_B_Ni.cif,-1.09
SiGe_IV_IV_M_i_B_V.cif,-0.57
SiGe_IV_IV_M_i_neut_Cr.cif,-0.63
SiGe_IV_IV_M_i_neut_Ni.cif,-0.42
SiSn_IV_IV_M_A_Al.cif,-0.01
SiSn_IV_IV_M_A_As.cif,-0.01
SiSn_IV_IV_M_A_B.cif,0.00
SiSn_IV_IV_M_A_C.cif,0.00
SiSn_IV_IV_M_A_Cd.cif,-0.01
SiSn_IV_IV_M_A_Cr.cif,-1.70
SiSn_IV_IV_M_A_Cu.cif,-0.67
SiSn_IV_IV_M_A_Fe.cif,-0.26
SiSn_IV_IV_M_A_Ga.cif,0.00
SiSn_IV_IV_M_A_Ge.cif,0.00
SiSn_IV_IV_M_A_In.cif,-0.15
SiSn_IV_IV_M_A_Mn.cif,-0.69
SiSn_IV_IV_M_A_N.cif,-0.85
SiSn_IV_IV_M_A_Ni.cif,-0.39
SiSn_IV_IV_M_A_Sb.cif,-0.01
SiSn_IV_IV_M_A_Te.cif,-0.01
SiSn_IV_IV_M_A_Ti.cif,-0.31
SiSn_IV_IV_M_A_V.cif,-0.99
SiSn_IV_IV_M_A_Zn.cif,0.00
SiSn_IV_IV_M_B_Ag.cif,-0.02
SiSn_IV_IV_M_B_Al.cif,0.00
SiSn_IV_IV_M_B_As.cif,-0.01
SiSn_IV_IV_M_B_Au.cif,-0.01
SiSn_IV_IV_M_B_B.cif,0.00
SiSn_IV_IV_M_B_Be.cif,0.00
SiSn_IV_IV_M_B_Bi.cif,-0.01
SiSn_IV_IV_M_B_Cd.cif,0.00
SiSn_IV_IV_M_B_Cr.cif,-0.76
SiSn_IV_IV_M_B_Cu.cif,-0.01
SiSn_IV_IV_M_B_Fe.cif,-0.01
SiSn_IV_IV_M_B_Ga.cif,-0.01
SiSn_IV_IV_M_B_Ge.cif,0.00
SiSn_IV_IV_M_B_In.cif,-0.01
SiSn_IV_IV_M_B_Mn.cif,-0.01
SiSn_IV_IV_M_B_N.cif,-1.09
SiSn_IV_IV_M_B_Ni.cif,-0.09
SiSn_IV_IV_M_B_Pb.cif,-0.01
SiSn_IV_IV_M_B_Pd.cif,-0.02
SiSn_IV_IV_M_B_Pt.cif,-0.01
SiSn_IV_IV_M_B_Sb.cif,0.00
SiSn_IV_IV_M_B_Si.cif,-0.08
SiSn_IV_IV_M_B_Ti.cif,0.00
SiSn_IV_IV_M_B_Tl.cif,-0.02
SiSn_IV_IV_M_B_V.cif,-0.27
SiSn_IV_IV_M_B_Zn.cif,-0.01
SiSn_IV_IV_M_i_A_Cr.cif,-1.74
SiSn_IV_IV_M_i_A_Cu.cif,-0.61
SiSn_IV_IV_M_i_A_Fe.cif,-0.03
SiSn_IV_IV_M_i_A_Mn.cif,-0.45
SiSn_IV_IV_M_i_A_N.cif,-0.65
SiSn_IV_IV_M_i_A_Ni.cif,-1.23
SiSn_IV_IV_M_i_A_Ti.cif,-0.07
SiSn_IV_IV_M_i_A_V.cif,-0.60
SiSn_IV_IV_M_i_B_Cr.cif,-1.19
SiSn_IV_IV_M_i_B_Cu.cif,-0.18
SiSn_IV_IV_M_i_B_N.cif,0.00
SiSn_IV_IV_M_i_B_Ni.cif,-0.19
SiSn_IV_IV_M_i_B_V.cif,-0.10
SiSn_IV_IV_M_i_neut_Cr.cif,-0.88
SiSn_IV_IV_M_i_neut_Cu.cif,-0.01
SiSn_IV_IV_M_i_neut_Fe.cif,-0.02
SiSn_IV_IV_M_i_neut_N.cif,-0.01
SiSn_IV_IV_M_i_neut_Ni.cif,-0.69
SiSn_IV_IV_M_i_neut_V.cif,-0.01
SiSn_V_Si.cif,0.00
SiSn_V_Sn.cif,-0.01
Sn_IV_IV_M_A_Al.cif,-0.25
Sn_IV_IV_M_A_As.cif,-1.53
Sn_IV_IV_M_A_B.cif,0.00
Sn_IV_IV_M_A_Br.cif,-0.43
Sn_IV_IV_M_A_Cd.cif,-0.02
Sn_IV_IV_M_A_Cr.cif,-1.82
Sn_IV_IV_M_A_Cu.cif,-0.75
Sn_IV_IV_M_A_Fe.cif,-0.83
Sn_IV_IV_M_A_Ga.cif,-0.65
Sn_IV_IV_M_A_Ge.cif,-0.92
Sn_IV_IV_M_A_In.cif,-0.06
Sn_IV_IV_M_A_Mn.cif,-0.51
Sn_IV_IV_M_A_N.cif,-2.29
Sn_IV_IV_M_A_Ni.cif,-1.08
Sn_IV_IV_M_A_Sb.cif,-0.76
Sn_IV_IV_M_A_Se.cif,-0.14
Sn_IV_IV_M_A_Si.cif,-0.56
Sn_IV_IV_M_A_Ti.cif,-0.21
Sn_IV_IV_M_A_V.cif,-1.08
Sn_IV_IV_M_A_Zn.cif,-0.11
Sn_IV_IV_M_i_A_Cd.cif,-0.02
Sn_IV_IV_M_i_A_Cr.cif,-1.84
Sn_IV_IV_M_i_A_Cu.cif,-0.70
Sn_IV_IV_M_i_A_Fe.cif,-0.48
Sn_IV_IV_M_i_A_Ga.cif,-0.21
Sn_IV_IV_M_i_A_Mn.cif,-0.43
Sn_IV_IV_M_i_A_N.cif,-1.84
Sn_IV_IV_M_i_A_Ni.cif,-1.19
Sn_IV_IV_M_i_A_Ti.cif,-0.48
Sn_IV_IV_M_i_A_V.cif,-1.14
Sn_IV_IV_M_i_A_Zn.cif,-0.19
Sn_IV_IV_M_i_neut_Cr.cif,-1.53
Sn_IV_IV_M_i_neut_Cu.cif,-0.76
Sn_IV_IV_M_i_neut_Fe.cif,-0.42
Sn_IV_IV_M_i_neut_Mn.cif,-0.44
Sn_IV_IV_M_i_neut_N.cif,-1.19
Sn_IV_IV_M_i_neut_Ni.cif,-1.35
Sn_IV_IV_M_i_neut_Ti.cif,-0.04
Sn_IV_IV_M_i_neut_V.cif,-1.09
SnC_IV_IV_M_A_Cr.cif,-3.02
SnC_IV_IV_M_A_Fe.cif,0.00
SnC_IV_IV_M_A_N.cif,-0.12
SnC_IV_IV_M_A_Ni.cif,0.00
SnC_IV_IV_M_A_V.cif,-1.13
ZnO_II_VI_M_A_Al.cif,-0.12
ZnO_II_VI_M_A_Be.cif,0.00
ZnO_II_VI_M_A_Ca.cif,0.00
ZnO_II_VI_M_A_Cd.cif,-0.36
ZnO_II_VI_M_A_Co.cif,0.00
ZnO_II_VI_M_A_Cr.cif,-4.09
ZnO_II_VI_M_A_Cu.cif,0.00
ZnO_II_VI_M_A_Fe.cif,-2.11
ZnO_II_VI_M_A_Ga.cif,0.00
ZnO_II_VI_M_A_K.cif,0.00
ZnO_II_VI_M_A_Li.cif,0.00
ZnO_II_VI_M_A_Mg.cif,0.00
ZnO_II_VI_M_A_Mn.cif,-2.07
ZnO_II_VI_M_A_Ni.cif,0.00
ZnO_II_VI_M_A_Pb.cif,-0.01
ZnO_II_VI_M_A_Ti.cif,-1.36
ZnO_II_VI_M_A_V.cif,-2.77
ZnO_II_VI_M_B_As.cif,0.00
ZnO_II_VI_M_B_B.cif,-0.01
ZnO_II_VI_M_B_Be.cif,0.00
ZnO_II_VI_M_B_Br.cif,-0.76
ZnO_II_VI_M_B_C.cif,0.00
ZnO_II_VI_M_B_Cl.cif,-0.02
ZnO_II_VI_M_B_Cr.cif,-1.42
ZnO_II_VI_M_B_Fe.cif,0.00
ZnO_II_VI_M_B_Ge.cif,0.00
ZnO_II_VI_M_B_I.cif,-0.51
ZnO_II_VI_M_B_N.cif,-0.94
ZnO_II_VI_M_B_Ni.cif,0.00
ZnO_II_VI_M_B_P.cif,-0.01
ZnO_II_VI_M_B_S.cif,0.00
ZnO_II_VI_M_B_Sb.cif,0.00
ZnO_II_VI_M_B_Se.cif,-0.14
ZnO_II_VI_M_B_Si.cif,-0.01
ZnO_II_VI_M_B_Sn.cif,0.00
ZnO_II_VI_M_B_Te.cif,0.00
ZnO_II_VI_M_i_A_Cr.cif,-0.81
ZnO_II_VI_M_i_A_V.cif,-0.24
ZnO_II_VI_M_i_B_Cr.cif,-0.90
ZnO_II_VI_M_i_B_Mn.cif,-0.42
ZnO_II_VI_M_i_B_V.cif,-0.64
ZnO_II_VI_M_i_neut_Cr.cif,-0.41
ZnO_II_VI_M_i_neut_Cu.cif,0.00
ZnO_II_VI_M_i_neut_Fe.cif,-0.01
ZnO_II_VI_M_i_neut_N.cif,0.00
ZnO_II_VI_M_i_neut_Ni.cif,-0.01
ZnO_V_O.cif,-0.13
ZnO_V_Zn.cif,-0.01
ZnS_II_VI_M_A_Al.cif,-0.01
ZnS_II_VI_M_A_Be.cif,-0.01
ZnS_II_VI_M_A_Bi.cif,0.00
ZnS_II_VI_M_A_Cd.cif,0.00
ZnS_II_VI_M_A_Co.cif,-0.01
ZnS_II_VI_M_A_Cr.cif,-1.89
ZnS_II_VI_M_A_Cu.cif,0.00
ZnS_II_VI_M_A_Fe.cif,-0.38
ZnS_II_VI_M_A_Ga.cif,0.00
ZnS_II_VI_M_A_Hg.cif,0.00
ZnS_II_VI_M_A_In.cif,0.00
ZnS_II_VI_M_A_Mn.cif,-0.77
ZnS_II_VI_M_A_N.cif,-0.01
ZnS_II_VI_M_A_Ni.cif,0.00
ZnS_II_VI_M_A_Pb.cif,0.00
ZnS_II_VI_M_A_Sc.cif,-0.31
ZnS_II_VI_M_A_Ti.cif,-1.06
ZnS_II_VI_M_A_Tl.cif,0.00
ZnS_II_VI_M_A_V.cif,-1.84
ZnS_II_VI_M_B_As.cif,0.00
ZnS_II_VI_M_B_B.cif,-0.01
ZnS_II_VI_M_B_Bi.cif,-0.01
ZnS_II_VI_M_B_Br.cif,-1.27
ZnS_II_VI_M_B_C.cif,0.00
ZnS_II_VI_M_B_Cl.cif,-0.25
ZnS_II_VI_M_B_Cr.cif,-0.18
ZnS_II_VI_M_B_F.cif,-0.01
ZnS_II_VI_M_B_Ga.cif,-0.01
ZnS_II_VI_M_B_Ge.cif,0.00
