Defects,Formation_Energies
AlSb_III_V_M_i_A_V.cif,-1.04
AlSb_III_V_M_i_B_Cr.cif,-1.12
AlSb_III_V_M_i_B_Mn.cif,-0.20
AlSb_III_V_M_i_B_Ti.cif,-0.07
AlSb_III_V_M_i_B_V.cif,-0.91
AlSb_III_V_M_i_neut_Cr.cif,-0.97
AlSb_III_V_M_i_neut_Cu.cif,0.00
AlSb_III_V_M_i_neut_Ni.cif,-0.01
AlSb_III_V_M_i_neut_V.cif,-0.41
AlSb_V_Al.cif,0.00
AlSb_V_Sb.cif,0.00
BAs_III_V_M_A_Be.cif,0.00
BAs_III_V_M_A_Cd.cif,-0.01
BAs_III_V_M_A_Cr.cif,-0.69
BAs_III_V_M_A_Fe.cif,0.00
BAs_III_V_M_A_V.cif,-0.19
BAs_III_V_M_A_Zn.cif,-0.01
BAs_III_V_M_B_Al.cif,-0.01
BAs_III_V_M_B_B.cif,-0.01
BAs_III_V_M_B_Cr.cif,-2.58
BAs_III_V_M_B_Cu.cif,-0.01
BAs_III_V_M_B_Fe.cif,0.00
BAs_III_V_M_B_Ga.cif,-0.02
BAs_III_V_M_B_Ge.cif,-0.01
BAs_III_V_M_B_In.cif,-0.01
BAs_III_V_M_B_Mn.cif,-0.01
BAs_III_V_M_B_N.cif,-0.39
BAs_III_V_M_B_Ni.cif,-0.01
BAs_III_V_M_B_Sb.cif,0.00
BAs_III_V_M_B_Si.cif,-0.01
BAs_III_V_M_B_Sn.cif,-0.01
BAs_III_V_M_B_Te.cif,-0.01
BAs_III_V_M_B_V.cif,-0.60
BAs_III_V_M_B_Zn.cif,-0.01
BAs_V_As.cif,0.00
BAs_V_B.cif,-0.01
BN_III_V_M_A_Al.cif,0.00
BN_III_V_M_A_As.cif,-0.01
BN_III_V_M_A_C.cif,0.00
BN_III_V_M_A_Cd.cif,-0.01
BN_III_V_M_A_Ge.cif,0.00
BN_III_V_M_A_In.cif,0.00
BN_III_V_M_A_N.cif,0.00
BN_III_V_M_A_O.cif,-0.01
BN_III_V_M_A_P.cif,-0.01
BN_III_V_M_A_S.cif,-0.01
BN_III_V_M_A_Sb.cif,-0.01
BN_III_V_M_A_Se.cif,0.00
BN_III_V_M_A_Si.cif,0.00
BN_III_V_M_A_Sn.cif,-0.01
BN_III_V_M_A_Zn.cif,-0.01
BN_III_V_M_B_Al.cif,-0.01
BN_III_V_M_B_As.cif,-0.01
BN_III_V_M_B_B.cif,0.00
BN_III_V_M_B_C.cif,0.00
BN_III_V_M_B_Cd.cif,0.00
BN_III_V_M_B_Ga.cif,0.00
BN_III_V_M_B_Ge.cif,0.00
BN_III_V_M_B_In.cif,0.00
BN_III_V_M_B_O.cif,0.00
BN_III_V_M_B_P.cif,-0.01
BN_III_V_M_B_S.cif,-0.01
BN_III_V_M_B_Sb.cif,-0.01
BN_III_V_M_B_Se.cif,0.00
BN_III_V_M_B_Si.cif,0.00
BN_III_V_M_B_Sn.cif,0.00
BN_III_V_M_B_Te.cif,-0.01
BN_III_V_M_B_Zn.cif,-0.01
BN_V_B.cif,0.00
BN_V_N.cif,0.00
BP_III_V_M_A_Be.cif,0.00
BP_III_V_M_A_Cr.cif,-0.43
BP_III_V_M_A_Fe.cif,0.00
BP_III_V_M_B_Cr.cif,-1.16
BP_III_V_M_B_Ga.cif,0.00
BP_III_V_M_B_In.cif,0.00
BP_III_V_M_B_N.cif,-0.13
BP_III_V_M_B_V.cif,-0.68
BSb_III_V_M_A_Cr.cif,-0.42
BSb_III_V_M_B_As.cif,-0.40
BSb_III_V_M_B_Cr.cif,-0.46
BSb_III_V_M_B_Ga.cif,0.00
BSb_III_V_M_B_N.cif,-0.12
BSb_III_V_M_B_P.cif,-0.69
BSb_III_V_M_B_S.cif,-0.35
BSb_III_V_M_B_Se.cif,-1.04
BSb_III_V_M_B_Sn.cif,-1.10
BSb_III_V_M_B_V.cif,-0.28
BSb_III_V_M_i_A_Cr.cif,-0.51
BSb_V_B.cif,-1.16
BSb_V_Sb.cif,-1.15
C_IV_IV_M_A_Cr.cif,0.00
CdO_II_VI_M_A_Al.cif,0.00
CdO_II_VI_M_A_B.cif,-0.01
CdO_II_VI_M_A_Be.cif,-0.01
CdO_II_VI_M_A_Ca.cif,0.00
CdO_II_VI_M_A_Co.cif,0.00
CdO_II_VI_M_A_Cr.cif,-2.55
CdO_II_VI_M_A_Cu.cif,0.00
CdO_II_VI_M_A_Fe.cif,-0.55
CdO_II_VI_M_A_Ga.cif,0.00
CdO_II_VI_M_A_In.cif,-0.01
CdO_II_VI_M_A_K.cif,0.00
CdO_II_VI_M_A_Li.cif,-0.01
CdO_II_VI_M_A_Mg.cif,-0.47
CdO_II_VI_M_A_Mn.cif,-1.08
CdO_II_VI_M_A_Na.cif,0.00
CdO_II_VI_M_A_Ni.cif,-0.01
CdO_II_VI_M_A_Pb.cif,-0.01
CdO_II_VI_M_A_Rb.cif,-0.01
CdO_II_VI_M_A_Sc.cif,-0.75
CdO_II_VI_M_A_Ti.cif,-1.57
CdO_II_VI_M_A_Tl.cif,0.00
CdO_II_VI_M_A_V.cif,-2.26
CdO_II_VI_M_A_Zn.cif,-0.19
CdO_II_VI_M_B_As.cif,0.00
CdO_II_VI_M_B_B.cif,-0.01
CdO_II_VI_M_B_Br.cif,-0.77
CdO_II_VI_M_B_C.cif,0.00
CdO_II_VI_M_B_F.cif,-0.01
CdO_II_VI_M_B_Ge.cif,0.00
CdO_II_VI_M_B_I.cif,-0.35
CdO_II_VI_M_B_N.cif,-1.00
CdO_II_VI_M_B_P.cif,0.00
CdO_II_VI_M_B_S.cif,0.00
